endpoint,number,value,state,C
SR-ARE,37,0.30611295398930266,1,0.001953012100015384
SR-ARE,38,0.30626152820557856,1,0.007877627773958028
SR-ARE,39,0.3125401592822064,1,0.00420626697671126
SR-ARE,40,0.30743842124144627,1,0.3447111628315795
SR-ARE,41,0.3117321833627941,1,0.003604467245640331
SR-ARE,42,0.3093449373101751,1,0.0024401344859511184
SR-ARE,43,0.3099897032527261,1,0.0010572902408932726
SR-ARE,44,0.30987175120829935,1,0.002918114585714106
SR-ARE,45,0.3054309602078703,1,0.008925267128196003
SR-ARE,46,0.3112095687792094,1,0.004449091787548509
SR-ARE,47,0.2840200672922498,1,5.240400772395439
SR-ARE,48,0.31052961891254505,1,0.019200460746583017
SR-ARE,49,0.3088379734554599,1,0.04132678958239474
SR-MMP,0,0.4549212650139488,1,2.6890788551555658
SR-MMP,1,0.47198524771912054,1,0.18532293842414965
SR-MMP,2,0.46019732566285476,1,0.9742378760234416
SR-MMP,3,0.4743551365945004,1,0.1603873144570661
SR-MMP,4,0.5571802256018779,1,0.003083293772194663
SR-MMP,5,0.47424389857123195,1,0.15957290600559562
SR-MMP,6,0.5434136237433561,1,0.0065543210288524015
SR-MMP,7,0.4350146543019699,1,26.477492430623958
SR-MMP,8,0.47078194203245993,1,0.19791101173983475
SR-MMP,9,0.45563131437722365,1,1.736288529065214
SR-MMP,10,0.5562705234963654,1,0.0032066435314612785
SR-MMP,11,0.5752241151937233,1,0.0011315272949637123
SR-MMP,12,0.5761592793688661,1,0.00105640543641902
SR-MMP,13,0.5218517293104357,1,0.017640165545886766
SR-MMP,14,0.5748484031441418,1,0.001170848241444973
SR-MMP,15,0.5139899042818192,1,0.02439875548938625
SR-MMP,16,0.5749729621427516,1,0.0011389629092179833
SR-MMP,17,0.5116086719995292,1,0.025962648646821032
SR-MMP,18,0.44507484724722857,1,11.42299791718422
SR-MMP,19,0.5401868983470459,1,0.008776479165280807
SR-MMP,20,0.4952286263154633,1,0.05397963988073061
SR-MMP,21,0.5759488611195407,1,0.0010735902473929463
SR-MMP,22,0.5582656351852042,1,0.002750722398524104
SR-MMP,23,0.5805780554212676,1,0.001009624218353141
SR-MMP,24,0.5414802564087425,1,0.007975566117450287
SR-MMP,25,0.5583416415631313,1,0.0028169590678167275
SR-MMP,26,0.576217462056307,1,0.0010519860636925757
SR-MMP,27,0.5012894768225782,1,0.04132814091753273
SR-MMP,28,0.5550716507014015,1,0.0035978892670213004
SR-MMP,29,0.4234935222060535,1,77.22573344301979
SR-MMP,30,0.4588165911326167,1,0.6752768747539589
SR-MMP,31,0.5760975677785342,1,0.0010980203872346694
SR-MMP,32,0.5652897268581064,1,0.0020179604292155763
SR-MMP,33,0.5442796285343746,1,0.006791813581146423
SR-MMP,34,0.535401312059806,1,0.010989237678027905
SR-MMP,35,0.5642104289545316,1,0.002090830311554349
SR-MMP,36,0.548683745994758,1,0.0048953500641671695
SR-MMP,37,0.4851851741735997,1,0.08918722273935188
SR-MMP,38,0.4465690653475974,1,6.665819690510155
SR-MMP,39,0.5655731251792976,1,0.0019642073969161006
SR-MMP,40,0.5287054725969038,1,0.01392150607842663
SR-MMP,41,0.5757638779759664,1,0.001114900742637727
SR-MMP,42,0.5511520585983882,1,0.0045396235241107604
SR-MMP,43,0.5682624014861208,1,0.00164734502830904
SR-MMP,44,0.5510125106969238,1,0.00458974970290559
SR-MMP,45,0.5702926337522347,1,0.0015623558471287216
SR-MMP,46,0.45979089170401294,1,0.45898672300143917
SR-MMP,47,0.5589457022019221,1,0.0026673201423256963
SR-MMP,48,0.575449298413485,1,0.0011509843264870278
SR-MMP,49,0.5805640716034428,1,0.0010120456500930422
