endpoint,model,metric,runs,mean,std,ci95_lower,ci95_upper
SR-ATAD5,random_forest,pr_auc,5,0.17026127140285394,0.03989940938559315,0.12071961121916946,0.2198029315865384
SR-ATAD5,random_forest,mcc,5,0.06461264753602405,0.07570271063822638,-0.029384682829898923,0.15860997790194703
SR-ATAD5,random_forest,balanced_accuracy,5,0.5123528411456545,0.013617376474503116,0.49544463502727704,0.5292610472640319
SR-ATAD5,random_forest,sensitivity,5,0.028076923076923076,0.028897390394248983,-0.00780392621765523,0.06395777237150138
SR-ATAD5,random_forest,specificity,5,0.9966287592143859,0.0020951138759259602,0.9940273317425115,0.9992301866862603
SR-ATAD5,random_forest,precision,5,0.215,0.22332711434127295,-0.06229723770029469,0.49229723770029465
SR-ATAD5,random_forest,f1,5,0.04957854406130269,0.05095756632880286,-0.013693631485252308,0.11285071960785768
SR-ATAD5,random_forest,brier,5,0.049183025950104625,0.004899239398204031,0.043099816770773194,0.055266235129436056
SR-ATAD5,random_forest,ece,5,0.01341787113903759,0.0038503763512916455,0.008636997444103576,0.018198744833971603
SR-ATAD5,random_forest,nll,5,0.19492843934682982,0.020892337506455458,0.16898717602674182,0.22086970266691783
SR-ATAD5,random_forest,recall_at_precision_0.80,5,0.0,0.0,0.0,0.0
SR-ATAD5,random_forest,precision_at_recall_0.80,5,0.08836065118888634,0.026482815070733814,0.05547789314446803,0.12124340923330465
SR-MMP,logistic_regression,roc_auc,5,0.7552813528499416,0.014289688170525857,0.7375383615030414,0.7730243441968417
SR-MMP,logistic_regression,pr_auc,5,0.5204594974869795,0.03558769039624373,0.4762715435427417,0.5646474514312173
SR-MMP,logistic_regression,mcc,5,0.3490703315169554,0.04997283957557543,0.287020855727951,0.41111980730595976
SR-MMP,logistic_regression,balanced_accuracy,5,0.678919846229376,0.02724071488969705,0.6450960312655059,0.7127436611932461
SR-MMP,logistic_regression,sensitivity,5,0.5437033498717672,0.0465793205532864,0.4858674844799587,0.6015392152635757
SR-MMP,logistic_regression,specificity,5,0.8141363425869846,0.012227851057892567,0.7989534601530016,0.8293192250209677
SR-MMP,logistic_regression,precision,5,0.5042060895038644,0.03902996881206412,0.4557439823789085,0.5526681966288202
SR-MMP,logistic_regression,f1,5,0.5226415991314843,0.0372492689867553,0.4763905228712222,0.5688926753917465
SR-MMP,logistic_regression,brier,5,0.22074427441669014,0.012538239648308207,0.2051759936445348,0.2363125551888455
SR-MMP,logistic_regression,ece,5,0.20797950456339948,0.015846256172134303,0.18830377876814608,0.22765523035865287
SR-MMP,logistic_regression,nll,5,1.43265962594065,0.0570788262914151,1.3617869022748734,1.5035323496064268
SR-MMP,logistic_regression,recall_at_precision_0.80,5,0.03807740324594257,0.059195648807244816,-0.03542370272832705,0.11157850922021219
SR-MMP,logistic_regression,precision_at_recall_0.80,5,0.385357850760501,0.02072111336310181,0.35962919029483853,0.41108651122616346
SR-MMP,random_forest,roc_auc,5,0.8246114978124117,0.0031063822751956705,0.8207544147766429,0.8284685808481805
SR-MMP,random_forest,pr_auc,5,0.6433806681969583,0.028033116878741365,0.6085729562111868,0.6781883801827298
SR-MMP,random_forest,mcc,5,0.4304971811407198,0.027170781386479347,0.39676020009006335,0.4642341621913762
SR-MMP,random_forest,balanced_accuracy,5,0.6848526900879615,0.019388903173162858,0.6607781870531864,0.7089271931227366
SR-MMP,random_forest,sensitivity,5,0.44412681013756095,0.04906955609844299,0.3831989089222842,0.5050547113528376
SR-MMP,random_forest,specificity,5,0.9255785700383617,0.013442043854316696,0.9088880681221805,0.942269071954543
SR-MMP,random_forest,precision,5,0.6758696986887067,0.038178861368931345,0.6284643810344921,0.7232750163429214
SR-MMP,random_forest,f1,5,0.5336040553791073,0.03272620501544388,0.49296910481359507,0.5742390059446194
SR-MMP,random_forest,brier,5,0.14107819825653822,0.0033910524837844087,0.13686765047140367,0.14528874604167277
SR-MMP,random_forest,ece,5,0.0487766351390434,0.008661511828649935,0.038021947731392704,0.0595313225466941
SR-MMP,random_forest,nll,5,0.4391385069726036,0.00628977667673882,0.4313287177163553,0.4469482962288519
