endpoint,model,split_strategy,partition,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp
SR-p53,svm,global_scaffold,test,986,0.08519269776876268,0.5,0.786539172209904,0.33314239091718073,0.27709344736589453,0.920892494929006,0.5627045718509134,0.13095238095238096,0.9944567627494457,0.6875,0.22,0.06772026418847574,0.02224681221378855,0.24578262177515336,0.011904761904761904,0.1552511415525114,897,5,73,11
SR-p53,gradient_boosting,global_scaffold,validation,786,0.07633587786259542,0.5,0.753030303030303,0.29468714191356704,0.2510848421291825,0.926208651399491,0.562534435261708,0.13333333333333333,0.9917355371900827,0.5714285714285714,0.21621621621621623,0.0650129422254486,0.04341000464039387,0.2811227220657176,0.03333333333333333,0.11286681715575621,720,6,52,8
SR-p53,gradient_boosting,global_scaffold,test,986,0.08519269776876268,0.5,0.7316677225213811,0.2755438922107917,0.23867192551650598,0.9178498985801217,0.5556435434484215,0.11904761904761904,0.9922394678492239,0.5882352941176471,0.19801980198019803,0.07324783375507488,0.05188321861396566,0.31817727355984765,0.011904761904761904,0.13793103448275862,895,7,74,10
SR-p53,xgboost,global_scaffold,validation,786,0.07633587786259542,0.5,0.774793388429752,0.31446806052422643,0.25126595928061296,0.9274809160305344,0.5555785123966942,0.11666666666666667,0.9944903581267218,0.6363636363636364,0.19718309859154928,0.06207597886206913,0.026764338908500208,0.235758632589986,0.06666666666666667,0.12928759894459102,722,4,53,7
SR-p53,xgboost,global_scaffold,test,986,0.08519269776876268,0.5,0.7812071059022279,0.35483507121641616,0.2397385336482136,0.9188640973630832,0.5507998099461514,0.10714285714285714,0.9944567627494457,0.6428571428571429,0.1836734693877551,0.06626167232821817,0.027157721883035495,0.24927097660874487,0.0,0.13197026022304834,897,5,75,9
SR-ATAD5,dummy,global_scaffold,validation,829,0.04342581423401689,0.5,0.5,0.04342581423401689,0.0,0.9565741857659831,0.5,0.0,1.0,0.0,0.0,0.04168180766825843,0.011907761171978191,0.18076620435128016,0.0,0.04342581423401689,793,0,36,0
SR-ATAD5,dummy,global_scaffold,test,1027,0.06426484907497566,0.5,0.5,0.06426484907497566,0.0,0.9357351509250244,0.5,0.0,1.0,0.0,0.0,0.06120723089745917,0.032746796012936966,0.2521434277241524,0.0,0.06426484907497566,961,0,66,0
SR-ATAD5,logistic_regression,global_scaffold,validation,829,0.04342581423401689,0.5,0.768985568165896,0.17298419705453663,0.20369115072372126,0.9240048250904704,0.615559759002382,0.2777777777777778,0.9533417402269861,0.2127659574468085,0.24096385542168675,0.06785137228673872,0.0700277120444596,0.43797756483227096,0.0,0.0926517571884984,756,37,26,10
SR-ATAD5,logistic_regression,global_scaffold,test,1027,0.06426484907497566,0.5,0.6950698451739035,0.14075342504280122,0.1275715850125138,0.8958130477117819,0.5633336486614322,0.18181818181818182,0.9448491155046826,0.18461538461538463,0.183206106870229,0.09081578872661665,0.08867667871966671,0.6148071485076153,0.0,0.09814814814814815,908,53,54,12
SR-ATAD5,random_forest,global_scaffold,validation,829,0.04342581423401689,0.5,0.8255569567044977,0.20979647179488448,-0.01284059831562568,0.9529553679131484,0.49810844892812106,0.0,0.9962168978562421,0.0,0.0,0.03804504662740225,0.007837144304316188,0.14710515198406318,0.0,0.10752688172043011,790,3,36,0
SR-ATAD5,random_forest,global_scaffold,test,1027,0.06426484907497566,0.5,0.7992778986535491,0.22307249898087578,0.13296388761962802,0.9367088607594937,0.5146312237883518,0.030303030303030304,0.9989594172736732,0.6666666666666666,0.057971014492753624,0.056722674201020215,0.032402869555885346,0.23245751133248088,0.0,0.14285714285714285,960,1,64,2
SR-ATAD5,svm,global_scaffold,validation,829,0.04342581423401689,0.5,0.8017023959646911,0.21897405388623145,0.08572288319968625,0.9553679131483716,0.5126278548409696,0.027777777777777776,0.9974779319041615,0.3333333333333333,0.05128205128205128,0.03869336717506534,0.014550806389622853,0.15233029161348846,0.027777777777777776,0.11026615969581749,791,2,35,1
SR-ATAD5,svm,global_scaffold,test,1027,0.06426484907497566,0.5,0.7986787752656639,0.26524125158151224,0.15280813621718328,0.9367088607594937,0.521686690000946,0.045454545454545456,0.9979188345473465,0.6,0.08450704225352113,0.05713757621065069,0.03583910283866296,0.2185768684587443,0.015151515151515152,0.12155963302752294,959,2,63,3
SR-ATAD5,gradient_boosting,global_scaffold,validation,829,0.04342581423401689,0.5,0.7561650553453833,0.2063642201210614,0.16059085608378645,0.9541616405307599,0.5385140815468684,0.08333333333333333,0.9936948297604036,0.375,0.13636363636363635,0.039824437150373884,0.03178749828055812,0.20479636560258827,0.0,0.08734939759036145,788,5,33,3
SR-ATAD5,gradient_boosting,global_scaffold,test,1027,0.06426484907497566,0.5,0.7144073408381422,0.20057194558288424,0.07481011044485084,0.9328140214216164,0.5125500583356983,0.030303030303030304,0.9947970863683663,0.2857142857142857,0.0547945205479452,0.059707181126763556,0.05065229677874636,0.3291695813723927,0.0,0.08717105263157894,956,5,64,2
SR-ATAD5,xgboost,global_scaffold,validation,829,0.04342581423401689,0.5,0.766183270281631,0.15572264310521455,0.05162940114858737,0.9517490952955368,0.5107363037690906,0.027777777777777776,0.9936948297604036,0.16666666666666666,0.047619047619047616,0.04215351087423016,0.02216264523252052,0.17163254334506142,0.0,0.08033240997229917,788,5,35,1
SR-ATAD5,xgboost,global_scaffold,test,1027,0.06426484907497566,0.5,0.8188755399993694,0.26147195450946387,-0.011576128502124009,0.9337877312560857,0.49895941727367327,0.0,0.9979188345473465,0.0,0.0,0.05704901772346925,0.04019160710997016,0.2222078731845747,0.0,0.15976331360946747,959,2,66,0
SR-ARE,dummy,global_scaffold,validation,680,0.16470588235294117,0.5,0.5,0.16470588235294117,0.0,0.8352941176470589,0.5,0.0,1.0,0.0,0.0,0.13780019992757883,0.014911245967340753,0.4482417924266093,0.0,0.16470588235294117,568,0,112,0
SR-ARE,dummy,global_scaffold,test,847,0.20543093270365997,0.5,0.5,0.20543093270365997,0.0,0.79456906729634,0.5,0.0,1.0,0.0,0.0,0.16632446206015528,0.05563629631805955,0.5189491403954424,0.0,0.20543093270365997,673,0,174,0
SR-ARE,logistic_regression,global_scaffold,validation,680,0.16470588235294117,0.5,0.6301244969818913,0.28714160699044666,0.2024097461658157,0.7161764705882353,0.6222334004024145,0.48214285714285715,0.7623239436619719,0.2857142857142857,0.3588039867109635,0.2564515215526978,0.26121851398049856,2.1414022093633482,0.0,0.18773946360153257,433,135,58,54
SR-ARE,logistic_regression,global_scaffold,test,847,0.20543093270365997,0.5,0.6421538487814044,0.30468846878928385,0.16789028569521844,0.69185360094451,0.59303000802719,0.42528735632183906,0.7607726597325408,0.3148936170212766,0.36185819070904646,0.27534899038734134,0.2739215129203346,2.276899913041184,0.0,0.24108658743633277,512,161,100,74
SR-ARE,random_forest,global_scaffold,validation,680,0.16470588235294117,0.5,0.7363241951710261,0.359232903605318,0.153356914882704,0.8308823529411765,0.5403672032193159,0.10714285714285714,0.9735915492957746,0.4444444444444444,0.17266187050359713,0.12499295430957384,0.037054786007885074,0.3958921860208394,0.026785714285714284,0.2571428571428571,553,15,100,12
SR-ARE,random_forest,global_scaffold,test,847,0.20543093270365997,0.5,0.7883896090587692,0.5261149249858019,0.23842561444552035,0.8087367178276269,0.5579195914672679,0.13218390804597702,0.9836552748885586,0.6764705882352942,0.22115384615384615,0.13343530682600666,0.03922356844798573,0.42445209016282237,0.09770114942528736,0.35294117647058826,662,11,151,23
SR-ARE,svm,global_scaffold,validation,680,0.16470588235294117,0.5,0.7486088405432595,0.36009040477435345,0.19899504696036427,0.8294117647058824,0.5645749496981891,0.16964285714285715,0.9595070422535211,0.4523809523809524,0.24675324675324675,0.1261639164407465,0.03338730010397771,0.3993796304133938,0.0,0.2653061224489796,545,23,93,19
SR-ARE,svm,global_scaffold,test,847,0.20543093270365997,0.5,0.8146444979590444,0.565105493617134,0.32712760640829397,0.8217237308146399,0.5980512715410496,0.21839080459770116,0.9777117384843982,0.7169811320754716,0.33480176211453744,0.12677992185631676,0.03867479100824912,0.4007341298196813,0.13793103448275862,0.3825136612021858,658,15,136,38
SR-ARE,gradient_boosting,global_scaffold,validation,680,0.16470588235294117,0.5,0.7089097082494972,0.33368479173577587,0.20684353168273859,0.8235294117647058,0.5753898390342053,0.20535714285714285,0.9454225352112676,0.42592592592592593,0.27710843373493976,0.13471896538868042,0.06920608395534723,0.45238842223340514,0.0,0.21800947867298578,537,31,89,23
SR-ARE,gradient_boosting,global_scaffold,test,847,0.20543093270365997,0.5,0.7445645676418848,0.47885127886364476,0.31220188831409446,0.8158205430932703,0.6049896671278031,0.2471264367816092,0.962852897473997,0.6323529411764706,0.35537190082644626,0.14150151607971112,0.06927140345887368,0.4782352724192786,0.1206896551724138,0.3032258064516129,648,25,131,43
SR-ARE,xgboost,global_scaffold,validation,680,0.16470588235294117,0.5,0.7148201710261569,0.3363356971647392,0.2026855623845572,0.8264705882352941,0.5699823943661972,0.1875,0.9524647887323944,0.4375,0.2625,0.1303426502778342,0.04551822645041872,0.41983897064000275,0.008928571428571428,0.23333333333333334,541,27,91,21
SR-ARE,xgboost,global_scaffold,test,847,0.20543093270365997,0.5,0.7883341018940753,0.5435344705237399,0.34185285567605966,0.8252656434474617,0.5938882341889976,0.20114942528735633,0.986627043090639,0.7954545454545454,0.3211009174311927,0.13121517367441132,0.06052737271219685,0.42048043502666893,0.29310344827586204,0.3560606060606061,664,9,139,35
SR-MMP,dummy,global_scaffold,validation,677,0.16838995568685378,0.5,0.5,0.16838995568685378,0.0,0.8316100443131462,0.5,0.0,1.0,0.0,0.0,0.14061462627481797,0.024080028326078945,0.455571890361743,0.0,0.16838995568685378,563,0,114,0
SR-MMP,dummy,global_scaffold,test,842,0.2209026128266033,0.5,0.5,0.2209026128266033,0.0,0.7790973871733967,0.5,0.0,1.0,0.0,0.0,0.17797108793985042,0.07659268546582848,0.5490415311294253,0.0,0.2209026128266033,656,0,186,0
SR-MMP,logistic_regression,global_scaffold,validation,677,0.16838995568685378,0.5,0.7366317659156774,0.45390547423215694,0.3789757232923673,0.8079763663220089,0.706155931569599,0.5526315789473685,0.8596802841918295,0.44366197183098594,0.4921875,0.17755370985877258,0.16609752276207013,1.3846393450002548,0.14035087719298245,0.23173803526448364,484,79,51,63
SR-MMP,logistic_regression,global_scaffold,test,842,0.2209026128266033,0.5,0.7557369525308156,0.4825059830777394,0.3607028061034491,0.7790973871733967,0.6810418305795961,0.5053763440860215,0.8567073170731707,0.5,0.5026737967914439,0.19667074676469556,0.1890165113930314,1.4808104650995453,0.0,0.32563025210084034,562,94,92,94
SR-MMP,random_forest,global_scaffold,validation,677,0.16838995568685378,0.5,0.8722071608862297,0.6039980599114896,0.30654093860340226,0.8508124076809453,0.5710090056402106,0.14912280701754385,0.9928952042628775,0.8095238095238095,0.2518518518518518,0.10174732355901805,0.04702303599466983,0.3211567598533948,0.18421052631578946,0.4339622641509434,559,4,97,17
SR-MMP,random_forest,global_scaffold,test,842,0.2209026128266033,0.5,0.8574408274324679,0.6596974135016606,0.3985681766584442,0.8242280285035629,0.6156323760818254,0.24193548387096775,0.989329268292683,0.8653846153846154,0.37815126050420167,0.1240402323470326,0.06474120922220775,0.39516709889295626,0.3548387096774194,0.4745222929936306,649,7,141,45
SR-MMP,svm,global_scaffold,validation,677,0.16838995568685378,0.5,0.8772553052257641,0.6257877358119309,0.4313533040233222,0.8670605612998523,0.6507354086815618,0.32456140350877194,0.9769094138543517,0.74,0.45121951219512196,0.095100737074936,0.04071513358025542,0.30607523839120815,0.2894736842105263,0.5139664804469274,550,13,77,37
SR-MMP,svm,global_scaffold,test,842,0.2209026128266033,0.5,0.8814950498295305,0.675059412113527,0.494753881126439,0.8456057007125891,0.6929091266719118,0.41935483870967744,0.9664634146341463,0.78,0.5454545454545454,0.11449958540879042,0.05203828669142117,0.3597697188990044,0.3225806451612903,0.5457875457875457,634,22,108,78
SR-MMP,gradient_boosting,global_scaffold,validation,677,0.16838995568685378,0.5,0.855185254432707,0.581024272424855,0.41521247887547674,0.8626292466765141,0.6515689757252813,0.3333333333333333,0.9698046181172292,0.6909090909090909,0.44970414201183434,0.10196954143274455,0.051427973215661886,0.34420314750341957,0.13157894736842105,0.48186528497409326,546,17,76,38
SR-MMP,gradient_boosting,global_scaffold,test,842,0.2209026128266033,0.5,0.8453030750065564,0.6130118472986151,0.4055735737463698,0.8206650831353919,0.66149521374246,0.3763440860215054,0.9466463414634146,0.6666666666666666,0.48109965635738833,0.13095513366349154,0.08177467569838949,0.4348616297231676,0.22580645161290322,0.4837662337662338,621,35,116,70
SR-MMP,xgboost,global_scaffold,validation,677,0.16838995568685378,0.5,0.8723785485026955,0.6078013440640284,0.38607558628745126,0.8581979320531757,0.6349132155432987,0.2982456140350877,0.9715808170515098,0.68,0.4146341463414634,0.09908732247391654,0.03850568133781896,0.31756589225454473,0.20175438596491227,0.4043478260869565,547,16,80,34
SR-MMP,xgboost,global_scaffold,test,842,0.2209026128266033,0.5,0.8758810319958039,0.6630160099637246,0.45941738593453274,0.83729216152019,0.6702399685287175,0.3709677419354839,0.9695121951219512,0.7752808988764045,0.5018181818181818,0.11685027926741354,0.0593069515243834,0.3694189272868899,0.23118279569892472,0.5302491103202847,636,20,117,69
