endpoint,model,split_strategy,partition,n,positive_prevalence,threshold,roc_auc,pr_auc,mcc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier,ece,nll,recall_at_precision_0.80,precision_at_recall_0.80,tn,fp,fn,tp,family,best_epoch,best_validation_loss
herg_blockade,fingerprint_mlp,,,1883,0.5071694105151354,0.5,0.8071481765661672,0.8217543464460686,0.4199925025648517,0.7073818374933617,0.7060344827586207,0.8,0.6120689655172413,0.6797153024911032,0.7349687349687349,0.188668381440957,0.0838735220484946,0.5623290707749411,0.6335078534031413,0.6797153024911032,568,360,191,764,single_task_mlp,,
herg_blockade,GIN,,,1883,0.5071694105151354,0.5,0.7918340404405129,0.7851003441764124,0.4310223029981038,0.7153478491768455,0.7148018595414335,0.7528795811518325,0.6767241379310345,0.7055937193326791,0.7284701114488349,0.1889269680724679,0.0477761492413847,0.5837392053781799,0.5099476439790576,0.6806049822064056,628,300,236,719,single_task_gnn,39.0,0.5565629348610387
ames_mutagenicity,GIN,,,1120,0.5473214285714286,0.5,0.8625378469775508,0.8707311165033076,0.5981425047489144,0.8,0.7998976804347616,0.800978792822186,0.7988165680473372,0.8279932546374368,0.814262023217247,0.1479730284994028,0.0374764477777976,0.4709000545894571,0.8401305057096248,0.8282828282828283,405,102,122,491,single_task_gnn,21.0,0.4939040972126854
SR-p53,GIN,,,986,0.0851926977687626,0.5,0.7852391510928096,0.3224966875870875,0.1827684745444751,0.5010141987829615,0.662496040544821,0.8571428571428571,0.4678492239467849,0.1304347826086956,0.2264150943396226,0.28787926246927,0.4325929705119568,0.7882158941887552,0.0,0.1597222222222222,422,480,12,72,single_task_gnn,12.0,1.2836022056066072
SR-ATAD5,GIN,,,1027,0.0642648490749756,0.5,0.7662630467000914,0.1442570231634857,0.2160882539034537,0.5287244401168452,0.7199571153785513,0.9393939393939394,0.5005202913631633,0.1143911439114391,0.2039473684210526,0.2787642174925626,0.4204710745155108,0.7689975998407665,0.0,0.1432432432432432,481,480,4,62,single_task_gnn,16.0,1.4388669591683607
SR-ARE,GIN,,,847,0.2054309327036599,0.5,0.7224214787108675,0.4012951269797462,0.2344001759897052,0.5596221959858324,0.6440496319448002,0.7873563218390804,0.5007429420505201,0.2896405919661733,0.4234930448222566,0.2373841528870547,0.29113415785688,0.6663654669957553,0.0057471264367816,0.2782101167315175,337,336,37,137,single_task_gnn,14.0,1.0510252768343145
SR-MMP,GIN,,,842,0.2209026128266033,0.5,0.871025111460792,0.6412103744364723,0.4559831712808466,0.7399049881235155,0.7695220298977183,0.8225806451612904,0.7164634146341463,0.4513274336283185,0.5828571428571429,0.1725594211384574,0.2064254030640918,0.5483412501725081,0.043010752688172,0.4790996784565916,470,186,33,153,single_task_gnn,26.0,0.8113611503080889
herg_blockade,multitask_fingerprint_mlp,,,1883,0.5071694105151354,0.5,0.7959063007763136,0.8243616758103592,0.4255820202382394,0.7089750398300584,0.710149056688933,0.6282722513089005,0.7920258620689655,0.7566204287515763,0.6864988558352403,0.1830797418914322,0.0439563862874557,0.540304484762289,0.5895287958115183,0.675198587819947,735,193,355,600,multitask_mlp,,
ames_mutagenicity,multitask_fingerprint_mlp,,,1120,0.5473214285714286,0.5,0.8238494679704368,0.856216835448409,0.4893616992149046,0.74375,0.7457825355303082,0.7243066884176182,0.7672583826429981,0.7900355871886121,0.7557446808510638,0.1753896619637293,0.061942423821061,0.5287970969913697,0.7047308319738989,0.7484756097560976,389,118,169,444,multitask_mlp,,
SR-p53,multitask_fingerprint_mlp,,,986,0.0851926977687626,0.5,0.7527452222574175,0.3023867195243253,0.1496873842601444,0.4645030425963489,0.6317442719881745,0.8333333333333334,0.4301552106430155,0.1198630136986301,0.2095808383233532,0.3272522189908627,0.4762283088091542,0.8933967650206781,0.0119047619047619,0.1254612546125461,388,514,14,70,multitask_mlp,,
SR-ATAD5,multitask_fingerprint_mlp,,,1027,0.0642648490749756,0.5,0.7974489956800052,0.2154507163723479,0.1844643976141473,0.4780915287244401,0.6858464982814618,0.9242424242424242,0.4474505723204995,0.1030405405405405,0.1854103343465045,0.3139287171998496,0.4785204798385806,0.8598424638235177,0.0,0.1606060606060606,430,531,5,61,multitask_mlp,,
SR-ARE,multitask_fingerprint_mlp,,,847,0.2054309327036599,0.5,0.7690261481443528,0.5015383133717874,0.304201341422155,0.5631641086186541,0.6846296391180339,0.8908045977011494,0.4784546805349183,0.3063241106719367,0.4558823529411764,0.269027312848047,0.3615477442776579,0.7403162796154852,0.1264367816091954,0.3598971722365038,322,351,19,155,multitask_mlp,,
SR-MMP,multitask_fingerprint_mlp,,,842,0.2209026128266033,0.5,0.839541535536323,0.6120717218768364,0.3837629680061765,0.6199524940617577,0.7291338840807763,0.9247311827956988,0.5335365853658537,0.3598326359832636,0.5180722891566265,0.2437490212534826,0.3316663757957642,0.6909597357110173,0.1881720430107527,0.4658385093167702,350,306,14,172,multitask_mlp,,
herg_blockade,multitask_gnn,,,1883,0.5071694105151354,0.5,0.682100785340314,0.686883580231765,0.2649231086004257,0.6287838555496548,0.6267196244809532,0.7706806282722513,0.4827586206896552,0.6052631578947368,0.6780285582680792,0.2274259098206223,0.0549690346317627,0.6472505151775398,0.2115183246073298,0.5899613899613899,448,480,219,736,multitask_gnn,,
ames_mutagenicity,multitask_gnn,,,1120,0.5473214285714286,0.5,0.7328976707819725,0.7551015824431535,0.3254246294874965,0.66875,0.6571441901470763,0.7797716150081566,0.534516765285996,0.6694677871148459,0.720422004521477,0.2071796549498045,0.0326502965929518,0.6004964692929184,0.3588907014681892,0.6587926509186351,271,236,135,478,multitask_gnn,,
SR-p53,multitask_gnn,,,986,0.0851926977687626,0.5,0.8144335339457291,0.3157638905803059,0.2372602847413902,0.552738336713996,0.7123587794319501,0.9047619047619048,0.5199556541019955,0.1493123772102161,0.2563237774030354,0.2249121969941409,0.3430628084961814,0.6170717145938033,0.0,0.1915492957746478,469,433,8,76,multitask_gnn,,
SR-ATAD5,multitask_gnn,,,1027,0.0642648490749756,0.5,0.8645508151231356,0.2421175081795145,0.2515659484407932,0.5832521908471275,0.7561488979282944,0.9545454545454546,0.5577523413111343,0.1290983606557377,0.2274368231046931,0.2289590998994158,0.35946732018045,0.6295580893267477,0.0,0.1932203389830508,536,425,3,63,multitask_gnn,,
SR-ARE,multitask_gnn,,,847,0.2054309327036599,0.5,0.7729671568376288,0.4923752019071488,0.291302152234729,0.5655253837072018,0.677593038547591,0.867816091954023,0.487369985141159,0.3044354838709677,0.4507462686567164,0.2490332643371116,0.3250961387277071,0.6951368373445471,0.1034482758620689,0.349009900990099,328,345,23,151,multitask_gnn,,
SR-MMP,multitask_gnn,,,842,0.2209026128266033,0.5,0.8184500393391031,0.5440562578596297,0.3644567905813485,0.6377672209026128,0.7193810647783897,0.8655913978494624,0.573170731707317,0.365079365079365,0.5135566188197768,0.2306444957061908,0.2906900685515051,0.6649336057117703,0.0,0.3994638069705093,376,280,25,161,multitask_gnn,,
